Body Height,CM Distance
751.0,176.25
679.0,156.55
794.0,183.5
777.0,176.5
720.0,164.5
741.0,184.0
792.0,180.5
796.0,186.0
673.0,155.5
708.0,157.1
775.0,172.2
727.0,160.65
815.0,180.5
743.0,160.3
749.0,171.0
800.0,189.0
740.0,175.75
795.0,181.5
783.0,174.85
734.0,165.0
751.0,182.5
686.0,157.5
786.0,186.1
748.0,182.0
740.0,164.7
717.0,169.0
827.0,182.2
744.0,174.8
666.0,160.6
729.0,164.5
811.0,190.5
737.0,169.0
670.0,166.25
808.0,176.5
754.0,179.3
724.0,159.05
802.0,185.0
779.0,180.5
772.0,181.9
671.0,156.0
732.0,164.6
734.0,171.6
694.0,165.0
743.0,172.7
681.0,168.5
680.0,154.0
746.0,163.75
758.0,170.5
730.0,171.25
741.0,169.5
721.0,175.75
710.0,159.05
747.0,168.05
725.0,164.5
703.0,164.5
704.0,165.2
687.0,161.5
803.0,185.0
762.0,174.6
789.0,182.75
724.0,171.5
679.0,158.2
687.0,164.2
704.0,175.0
761.0,168.5
775.0,172.2
774.0,172.05
658.0,154.5
703.0,156.5
743.0,171.25
719.0,171.0
807.0,180.2
668.0,166.0
712.0,161.9
706.0,173.5
750.0,170.5
734.0,177.0
731.0,177.5
642.0,159.5
757.0,169.6
753.0,166.0
788.0,174.65
772.0,176.5
729.0,169.2
869.0,191.5
703.0,156.55
751.0,179.0
687.0,159.5
639.0,163.5
715.0,178.0
