                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7208,                 4.9828,                      0,                 2.9815,                 3.2205,                0.99809,                      1,                  0.995,                0.51968,                0.06806,                    0.1,                0.02361,                0.00279,                  1.858,                 6.3023,                      0,                0.75313,                  3.505,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.0697,                 4.3734,                      0,                0.73725,                 1.7169,                0.99469,                      1,                  0.995,                0.52457,                0.00167,                    0.5,                0.00177,                0.00018,                 1.6346,                 7.3566,                      0,                 2.3909,                  2.636,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.1377,                 3.0988,                      0,                0.68335,                 1.7807,                 0.7514,                      1,                0.96167,                0.70341,                0.39401,                    0.7,                0.33772,                0.04305,                 1.1143,                 5.8427,                      0,                 3.6112,                 2.8476,             0.00033327,             0.00033327,             0.00033327
                      4,                0.96729,                 2.7807,                      0,                0.59582,                  1.633,                0.98469,                      1,                  0.995,                0.69094,                      0,                      0,                      0,                      0,                  1.225,                 5.6478,                      0,                 1.1849,                 2.9118,             0.00044634,             0.00044634,             0.00044634
                      5,                0.98743,                 2.5743,                      0,                0.55759,                 1.6918,                0.96558,                      1,                  0.995,                 0.5507,                0.24371,                    0.3,                0.08155,                0.00994,                 1.5528,                 4.8842,                      0,                 1.5845,                 2.9494,             0.00055703,             0.00055703,             0.00055703
                      6,                0.86227,                 2.5106,                      0,                0.52683,                 1.5542,                0.82806,                0.96518,                0.95833,                0.67294,                0.61654,                    0.7,                0.59358,                0.06277,                 1.1731,                 4.7369,                      0,                 1.0249,                 2.0258,             0.00066535,             0.00066535,             0.00066535
                      7,                0.99132,                  2.248,                      0,                0.59466,                 1.6361,                0.99376,                      1,                  0.995,                0.77387,                0.23402,                0.27657,                0.20969,                0.02333,                 1.0435,                 5.0087,                      0,                0.59128,                  1.562,             0.00077129,             0.00077129,             0.00077129
                      8,                0.95979,                 2.0698,                      0,                0.55693,                 1.5986,                0.96513,                      1,                  0.995,                0.44157,                0.22913,                    0.4,                0.30408,                0.05102,                    2.1,                 5.2879,                      0,                 1.3516,                 2.1227,             0.00087486,             0.00087486,             0.00087486
                      9,                0.88604,                  2.025,                      0,                0.52875,                 1.5475,                0.70423,                      1,                  0.945,                   0.31,                0.32753,                    0.7,                0.28831,                0.08517,                 2.3534,                 4.2406,                      0,                  1.929,                 3.1398,             0.00097605,             0.00097605,             0.00097605
                     10,                0.93288,                 2.0622,                      0,                0.57728,                 1.5314,                0.69133,                      1,                0.92643,                 0.3204,                0.25155,                    0.5,                0.20479,                0.06776,                 2.1204,                 6.8193,                      0,                 3.0009,                 2.2122,              0.0010749,              0.0010749,              0.0010749
                     11,                0.93064,                  2.068,                      0,                0.58608,                 1.5069,                0.97105,                      1,                  0.995,                0.74405,                0.21107,                    0.2,                0.19088,                 0.0294,                 1.2035,                 6.0478,                      0,                 1.5041,                 1.6194,              0.0011713,              0.0011713,              0.0011713
                     12,                0.92543,                 1.8619,                      0,                0.56391,                 1.5571,                0.99391,                      1,                  0.995,                0.68244,                0.99391,                      1,                  0.995,                0.57123,                 1.3135,                 1.8606,                      0,                 1.9607,                 3.0322,              0.0012654,              0.0012654,              0.0012654
                     13,                0.89588,                 1.6364,                      0,                0.57584,                 1.5704,                0.99492,                      1,                  0.995,                 0.7714,                0.99492,                      1,                  0.995,                0.57494,                0.97126,                 1.8805,                      0,                0.92593,                 1.7565,               0.001357,               0.001357,               0.001357
                     14,                0.81058,                 1.5476,                      0,                0.51092,                 1.4233,                 0.9535,                      1,                  0.995,                0.77679,                 0.9535,                      1,                  0.995,                 0.5934,                 1.0082,                 1.5032,                      0,                 1.3892,                 1.8345,              0.0014464,              0.0014464,              0.0014464
                     15,                0.81549,                 1.3476,                      0,                0.51725,                  1.438,                0.97252,                      1,                  0.995,                0.72907,                0.97252,                      1,                  0.995,                0.70513,                 1.1926,                 1.2233,                      0,                 1.4075,                 2.3462,              0.0015333,              0.0015333,              0.0015333
